DATE,USEPUINDXD
2001-03-26,80.06000
2001-04-02,65.65000
2001-04-09,77.04000
2001-04-16,87.87000
2001-04-23,101.56000
2001-04-30,52.21000
2001-05-07,6.67000
2001-05-14,159.26000
2001-05-21,65.63000
2001-05-28,111.31000
2001-06-04,59.47000
2001-06-11,53.52000
2001-06-18,95.35000
2001-06-25,60.61000
2001-07-02,78.06000
2001-07-09,96.76000
2001-07-16,115.84000
2001-07-23,99.51000
2001-07-30,60.13000
2001-08-06,65.46000
2001-08-13,94.82000
2001-08-20,60.66000
2001-08-27,45.52000
2001-09-03,276.26000
2001-09-10,79.74000
2001-09-17,329.71000
2001-09-24,215.17000
2001-10-01,266.95000
2001-10-08,247.37000
2001-10-15,124.64000
2001-10-22,208.10000
2001-10-29,158.12000
2001-11-05,158.61000
2001-11-12,193.14000
2001-11-19,145.72000
2001-11-26,117.73000
2001-12-03,134.47000
2001-12-10,88.86000
2001-12-17,138.07000
2001-12-24,87.59000
2001-12-31,181.41000
2002-01-07,154.84000
2002-01-14,89.58000
2002-01-21,146.01000
2002-01-28,203.14000
2002-02-04,68.28000
2002-02-11,84.03000
2002-02-18,103.18000
2002-02-25,89.21000
2002-03-04,33.63000
2002-03-11,119.33000
2002-03-18,82.96000
2002-03-25,75.26000
2002-04-01,23.67000
2002-04-08,102.01000
2002-04-15,65.95000
2002-04-22,96.37000
2002-04-29,104.17000
2002-05-06,53.90000
2002-05-13,121.82000
2002-05-20,100.98000
2002-05-27,59.10000
2002-06-03,92.42000
2002-06-10,42.25000
2002-06-17,119.31000
2002-06-24,81.07000
2002-07-01,128.21000
2002-07-08,43.58000
2002-07-15,124.89000
2002-07-22,170.20000
2002-07-29,93.18000
2002-08-05,116.29000
2002-08-12,86.86000
2002-08-19,115.77000
2002-08-26,136.26000
2002-09-02,97.12000
2002-09-09,108.30000
2002-09-16,122.76000
2002-09-23,162.95000
2002-09-30,135.82000
2002-10-07,87.04000
2002-10-14,90.07000
2002-10-21,72.24000
2002-10-28,79.82000
2002-11-04,160.18000
2002-11-11,77.17000
2002-11-18,85.40000
2002-11-25,109.94000
2002-12-02,73.92000
2002-12-09,59.69000
2002-12-16,99.27000
2002-12-23,84.06000
2002-12-30,176.25000
2003-01-06,166.02000
2003-01-13,106.07000
2003-01-20,94.97000
2003-01-27,174.73000
2003-02-03,123.07000
2003-02-10,198.13000
2003-02-17,313.52000
2003-02-24,135.08000
2003-03-03,180.70000
2003-03-10,141.64000
2003-03-17,181.83000
2003-03-24,142.64000
2003-03-31,170.18000
2003-04-07,144.57000
2003-04-14,159.85000
2003-04-21,118.73000
2003-04-28,119.81000
2003-05-05,63.01000
2003-05-12,149.28000
2003-05-19,96.95000
2003-05-26,82.84000
2003-06-02,66.83000
2003-06-09,136.06000
2003-06-16,67.20000
2003-06-23,89.79000
2003-06-30,69.28000
2003-07-07,45.63000
2003-07-14,45.67000
2003-07-21,63.22000
2003-07-28,83.27000
2003-08-04,78.62000
2003-08-11,73.35000
2003-08-18,39.88000
2003-08-25,51.76000
2003-09-01,100.21000
2003-09-08,52.97000
2003-09-15,206.38000
2003-09-22,91.17000
2003-09-29,111.55000
2003-10-06,65.56000
2003-10-13,51.92000
2003-10-20,46.93000
2003-10-27,97.62000
2003-11-03,55.83000
2003-11-10,95.03000
2003-11-17,41.48000
2003-11-24,47.80000
2003-12-01,67.15000
2003-12-08,52.54000
2003-12-15,128.03000
2003-12-22,84.90000
2003-12-29,225.94000
2004-01-05,184.22000
2004-01-12,52.84000
2004-01-19,67.45000
2004-01-26,79.81000
2004-02-02,57.69000
2004-02-09,73.15000
2004-02-16,46.59000
2004-02-23,123.32000
2004-03-01,105.68000
2004-03-08,50.29000
2004-03-15,44.24000
2004-03-22,45.69000
2004-03-29,45.66000
2004-04-05,121.38000
2004-04-12,26.54000
2004-04-19,41.75000
2004-04-26,60.74000
2004-05-03,44.54000
2004-05-10,48.78000
2004-05-17,41.26000
2004-05-24,46.09000
2004-05-31,25.29000
2004-06-07,77.02000
2004-06-14,58.30000
2004-06-21,37.29000
2004-06-28,118.01000
2004-07-05,39.42000
2004-07-12,22.29000
2004-07-19,60.50000
2004-07-26,42.91000
2004-08-02,53.03000
2004-08-09,59.42000
2004-08-16,46.99000
2004-08-23,160.15000
2004-08-30,96.69000
2004-09-06,117.28000
2004-09-13,46.45000
2004-09-20,64.53000
2004-09-27,128.30000
2004-10-04,82.32000
2004-10-11,153.40000
2004-10-18,103.07000
2004-10-25,58.43000
2004-11-01,97.99000
2004-11-08,74.18000
2004-11-15,65.69000
2004-11-22,55.51000
2004-11-29,32.12000
2004-12-06,135.68000
2004-12-13,63.23000
2004-12-20,47.87000
2004-12-27,21.99000
2005-01-03,129.35000
2005-01-10,57.12000
2005-01-17,20.65000
2005-01-24,83.89000
2005-01-31,83.61000
2005-02-07,94.84000
2005-02-14,41.50000
2005-02-21,211.46000
2005-02-28,43.62000
2005-03-07,41.82000
2005-03-14,59.53000
2005-03-21,54.92000
2005-03-28,84.33000
2005-04-04,58.42000
2005-04-11,55.52000
2005-04-18,65.62000
2005-04-25,108.21000
2005-05-02,60.79000
2005-05-09,134.88000
2005-05-16,42.51000
2005-05-23,9.69000
2005-05-30,52.08000
2005-06-06,63.77000
2005-06-13,57.70000
2005-06-20,10.16000
2005-06-27,84.10000
2005-07-04,37.86000
2005-07-11,20.15000
2005-07-18,35.45000
2005-07-25,20.15000
